,Game,million_played
0,Pac-Man Doodle,1000.0
1,CrossFire,660.0
2,Dungeon Fighter Online,600.0
3,PlayerUnknown's Battlegrounds,555.0
4,Candy Crush Saga,500.0
5,Tetris,500.0
6,Microsoft Solitaire,400.0
7,Fantasy Westward Journey,310.0
8,Fortnite,250.0
9,Rules of Survival,230.0
10,RuneScape,200.0
11,Dragon Nest,200.0
12,Animal Jam,160.0
13,The Legend of Mir 3,120.0
14,League of Legends,111.0
15,World of Warcraft,100.0
16,CityVille,100.0
17,Happy Farm,100.0
18,MapleStory,100.0
19,Scions of Fate,100.0
20,The Sims Social,100.0
21,Zhengtu,100.0
22,Microsoft Solitaire Collection,100.0
23,Hearthstone,100.0
24,Roblox,100.0
25,Minecraft,91.0
26,FarmVille,83.0
27,Westward Journey Online II,83.0
28,Ragnarok Online,80.0
29,Moshi Monsters,80.0
30,Yu-Gi-Oh! Duel Links,80.0
31,Dragon Oath,75.0
32,Grand Theft Auto V,71.0
33,Dofus,62.0
34,Flyff,60.0
35,Rocket League,58.0
36,Lineage,50.0
37,Perfect World,50.0
38,Team Fortress 2,50.0
39,Apex Legends,50.0
40,Tom Clancy's Rainbow Six Siege,50.0
41,Warframe,50.0
42,Counter-Strike: Global Offensive,46.0
43,FarmVille 2,43.0
44,Overwatch,40.0
45,Drakensang Online,35.0
46,Teamfight Tactics,33.0
47,Evony,33.0
48,FIFA 18,32.5
49,Pac-Man,30.0
50,FIFA 17,30.0
51,FIFA 16,28.3
52,GetAmped,26.0
53,Metal Slug Defense,29.0
54,Unturned,27.0
55,TERA,26.0
56,Street Fighter II,25.0
57,Call of Duty: WWII,24.9
58,Left 4 Dead 2,23.0
59,DC Universe Online,20.0
60,Shadowverse,20.0
61,Blade & Soul,18.0
62,Payday 2,18.0
63,Black Desert Online,18.0
64,Farm Town,17.0
65,Final Fantasy XIV,16.0
66,The Last of Us Remastered,15.9
67,Doom,15.0
68,For Honor,15.0
69,Trove,15.0
70,Puyopuyo!! Quest Arcade,15.0
71,Lineage II,14.0
72,Paladins,14.0
73,Battlefield 4,13.9
74,The Elder Scrolls Online,13.5
75,Dota 2,13.0
76,osu!,13.0
77,Call of Duty: Ghosts,12.6
78,FIFA 19,12.5
79,Guild Wars 2,11.0
80,Forza Horizon 3,10.0
81,Star Wars: The Old Republic,10.0
82,Free Realms,10.0
83,H1Z1,10.0
84,Robocraft,10.0
85,Ark: Survival Evolved,10.0
